"A journal of Jewish medical ethics and halacha","J Jew Med Ethics Halacha",""
"A Pediatria; revista mensal de clinica, patologia e higiene infantil","Pediatria (Rio)",""
"A report of the ... National Forum on Hospital and Health Affairs / conducted by the Graduate Program in Hospital Administration of Duke University. National Forum on Hospital and Health Affairs","Rep Natl Forum Hosp Health Aff",""
"A&M : advertising and marketing","A & M",""
"A. M. A. archives of dermatology","AMA Arch Derm",""
"A. M. A. archives of dermatology and syphilology","AMA Arch Derm Syphilol",""
"A. M. A. archives of industrial hygiene and occupational medicine","A M A Arch Ind Hyg Occup Med",""
"A. M. A. archives of neurology","AMA Arch Neurol",""
"A. M. A. archives of neurology and psychiatry","AMA Arch Neurol Psychiatry",""
"A. M. A. archives of pathology","AMA Arch Pathol",""
"A.A.G. bijdragen / Afdeling Agrarische Geschiedenis, Landbouwhogeschool","A A G Bijdr",""
"A.I.D. evaluation news","AID Eval News",""
"A.M.A. American journal of diseases of children","AMA Am J Dis Child",""
"A.M.A. archives of industrial health","AMA Arch Ind Health",""
"A.M.A. archives of internal medicine","AMA Arch Intern Med",""
"A.M.A. archives of ophthalmology","AMA Arch Ophthalmol",""
"A.M.A. archives of otolaryngology","AMA Arch Otolaryngol",""
"A.M.A. archives of surgery","AMA Arch Surg",""
"A.M.A. journal of diseases of children","AMA J Dis Child",""
"A.R.A.G. national newsletter / Abortion Reform Action Group","ARAG Natl Newsl",""
"A.W.R. Bulletin. Association for the Study of the World Refugee Problem","AWR Bull",""
"AA : l'architecture d'aujourd'hui","Archit Aujourdhui",""
"Aachener Kunstblatter (DuMont Buchverlag)","Aachen Kunstbl",""
"AACN advanced critical care","AACN Adv Crit Care",""
"AACN Clinical Issues","AACN Clin. Issues",""
"AACN Clinical Issues in Critical Care Nursing","AACN Clin. Issues Crit. Care Nurs.",""
"AADE Editors Journal","AADE Ed. J.",""
"AADE editors' journal","AADE Ed J",""
"AAHS journal / American Aviation Historical Society","AAHS J",""
"AANA Journal","AANA J.",""
"AANNT Journal","AANNT J.",""
"AANNT journal / the American Association of Nephrology Nurses and Technicians","AANNT J",""
"AAOHN Journal","AAOHN J.",""
"AAOHN journal : official journal of the American Association of Occupational Health Nurses","AAOHN J",""
"AAPG Bulletin","AAPG Bull.",""
"AAPG Memoir","AAPG Mem.",""
"AAPPO Journal","AAPPO J.",""
"AAPPO journal : the journal of the American Association of Preferred Provider Organizations","AAPPO J",""
"AAPS Journal","AAPS J.",""
"AAPS PharmSci","AAPS PharmSci",""
"AAPS PharmSciTech","AAPS PharmSciTech",""
"AARCTimes","AARC Times",""
"AARN News Letter","AARN News Lett.",""
"Aarsberetning - Kobenhavns universitets medicinsk-historiske institut og museum","Arsberet Kbh Univ Med Hist Inst Mus",""
"Aarsberetning - Kobenhavns universitets medicinsk-historiske museum","Arsberet Kobenhavns Univ Med Hist Mus",""
"Aastaraamat - Eesti Teadusliku Seltsi Rootsis. Annales - Societatis Litterarum Estonicae in Svecia. Eesti Teaduslik Selts Rootsis","Aastaraam Eesti Tead Seltsi Rootsis",""
"AB bookman's weekly : for the specialist book world","AB Bookm Wkly",""
"ABA journal","ABA J",""
"ABB Review","ABB Rev.",""
"Abbottempo","Abbottempo",""
"ABC decor","ABC Decor",""
"Abdominal Imaging","Abdom. Imaging",""
"Abdominal surgery","Abdom Surg",""
"Aberdeen University review","Aberdeen Univ Rev",""
"Abhandlungen aus dem Westfälischen Museum für Naturkunde","Abh. Westfäl. Mus. Nat.kd.",""
"Abhandlungen der Akademie der Wissenschaften der DDR","Abh. Akad. Wiss. DDR",""
"Abhandlungen der Akademie der Wissenschaften der DDR, Abteilung Mathematik, Naturwissenschaften, Technik","Abh. Akad. Wiss. DDR, Abt. Math., Naturwiss., Tech.",""
"Abhandlungen der Naturforschenden Gesellschaft in Zürich","Abh. Nat.forsch. Ges. Zür.",""
"Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft","Abh. Senckb. Naturforsch. Ges.",""
"Abhandlungen des Naturwissenschaftlichen Vereins zu Bremen","Abh. Nat.wiss. Ver. Bremen",""
"Abhandlungen und Berichte (Deutsches Museum (Germany))","Abh Ber Dtsch Mus",""
"Abhandlungen und Berichte des Staatlichen Museums fur Volkerkunde, Dresden. Staatliches Museum fur Volkerkunde Dresden","Abh Ber Staatl Mus Voelkerkd Dres",""
"Abhandlungen zur Geschichte der Medizin und der Naturwissenschaften","Abh Gesch Med Naturwiss",""
"ABNF Journal","ABNF J.",""
"Aboriginal And Islander Health Worker Journal","Aborig Isl Health Work J",""
"Abortion research notes / International Reference Center for Abortion Research","Abort Res Notes",""
"Abortion Review","Abortion Rev",""
"Abr-Nahrain : an annual under the auspices of the Department of Semitic Studies, University of Melbourne","Abr Nahain",""
"Abstracta Botanica","Abstr. Bot.",""
"Abstracts - Society for Neuroscience. Society for Neuroscience","Abstr Soc Neurosci",""
"Abstracts of the ... General Meeting of the American Society for Microbiology. American Society for Microbiology. General Meeting","Abstr Gen Meet Am Soc Microbiol",""
"ACA Transactions","ACA Trans.",""
"Academia","Academia",""
"Academia Peruana de Cirugia","Acad. Peru. Cir.",""
"Academic Emergency Medicine","Acad. Emerg. Med.",""
"Academic emergency medicine : official journal of the Society for Academic Emergency Medicine","Acad Emerg Med",""
"Academic Medicine","Acad. Med.",""
"Academic medicine : journal of the Association of American Medical Colleges","Acad Med",""
"Academic Nurse","Acad. Nurse",""
"Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry","Acad Psychiatry",""
"Academic psychology bulletin","Academic Psychol Bull",""
"Academic Radiology","Acad. Radiol.",""
"Academy news (Milwaukee, Wis.)","Acad News",""
"Academy of Management Journal","Acad. Manage. J.",""
"Academy of Management journal. Academy of Management","Acad Manage J",""
"Academy of Management Review","Acad. Manage. Rev.",""
"Academy of management review. Academy of Management","Acad Manage Rev",""
"Academy Review of the California Academy of Periodontology","Acad. Rev. Calif. Acad. Periodontol.",""
"Academy review of the California Academy of Periodontology, United States Section, ARPA Internationale","Acad Rev Calif Acad Periodontol",""
"Acadiensis","Acadiensis",""
"Acarologia","Acarologia",""
"Accademia medica","Accad Medica",""
"Accademia nazionale dei Lincei. Fondazione Leone Caetani","Accad Naz Lincei Rome",""
"Accademie e biblioteche d'Italia","Accad Bibl Ital",""
"Accident Analysis and Prevention","Accid. Anal. Prev.",""
"Accident and Emergency Nursing","Accid. Emerg. Nurs.",""
"Accident; analysis and prevention","Accid Anal Prev",""
"Accountability in research","Account Res",""
"Accounts of Chemical Research","Acc. Chem. Res.",""
"Accreditation and Quality Assurance","Accredit. Qual. Assur.",""
"ACE quarterly","ACE Q",""
"ACH - Models in Chemistry","ACH - Models Chem.",""
"Achievements in the Life Sciences","Achiev. Life Sci.",""
"ACI Materials Journal","ACI Mater. J.",""
"ACM Journal of Data and Information Quality","ACM J. Data Inf. Qual.",""
"ACM Journal on Computing and Cultural Heritage","ACM J. Comput. Cult. Heritage",""
"ACM Journal on Emerging Technologies in Computing","ACM J. Emerging Technol. Comput.",""
"ACM queue : tomorrow's computing today","ACM Queue",""
"ACM Transactions on Accessible Computing","ACM Trans. Accessible Comput.",""
"ACM Transactions on Asian and Low-Resource Language Information Processing","ACM Trans. Asian Low-Resour. Lang. Inf. Process.",""
"ACM Transactions on Asian Language Information Processing","ACM Trans. Asian Lang. Inf. Process.",""
"ACM Transactions on Computing Education","ACM Trans. Comput. Educ.",""
"ACM Transactions on Intelligent Systems and Technology","ACM Trans. Intell. Syst. Technol.",""
"ACM Transactions on Interactive Intelligent Systems","ACM Trans. Interact. Intell. Syst.",""
"ACM Transactions on Knowledge Discovery from Data","ACM Trans. Knowl. Discovery Data",""
"ACM Transactions on Management Information Systems","ACM Trans. Manage. Inf. Syst.",""
"ACM Transactions on Reconfigurable Technology and Systems","ACM Trans. Reconfigurable Technol. Syst.",""
"ACM Transactions on Speech and Language Processing","ACM Trans. Speech Lang. Process.",""
"ACM Transactions on Storage","ACM Trans. Storage",""
"ACOG committee opinion","ACOG Comm Opin",""
"ACOG educational bulletin","ACOG Educ Bull",""
"ACOG nurses bulletin","Acog Nurse Bull",""
"ACOG technical bulletin","ACOG Tech Bull",""
"Acoustical Imaging","Acoust. Imaging",""
"Acoustical Physics","Acoust. Phys.",""
"Acoustical Science and Technology","Acoust. Sci. Technol.",""
"Acoustics Australia / Australian Acoustical Society","Acoust Aust",""
"Acoustics Research Letters Online","Acoust. Res. Lett. Online",""
"Acoustics research letters online : ARLO","Acoust Res Lett Online",""
"Acoustics Today","Acoust. Today",""
"ACP Journal Club","ACP J. Club",""
"Acquired immunodeficiency syndrome (AIDS) weekly surveillance report / AIDS Activity, Center for Infectious Diseases, Centers for Disease Control","Acquir Immunodefic Syndr (AIDS) Wkly Surveill Rep",""
"Acquisitions Medicales Recentes","Acquis. Med. Recent.",""
"ACRH [reports]. U.S. Atomic Energy Commission","ACRH Rep",""
"ACRH Reports","ACRH Rep.",""
"Across the Board","Across Board (N. Y.)",""
"ACS Applied Energy Materials","ACS Appl. Energy Mater.",""
"ACS Applied Materials & Interfaces","ACS Appl. Mater. Interfaces",""
"ACS Applied Nano Materials","ACS Appl. Nano Mater.",""
"ACS Biomaterials Science & Engineering","ACS Biomater. Sci. Eng.",""
"ACS Catalysis","ACS Catal.",""
"ACS Central Science","ACS Cent. Sci.",""
"ACS Chemical Biology","ACS Chem. Biol.",""
"ACS Chemical Neuroscience","ACS Chem. Neurosci.",""
"ACS Combinatorial Science","ACS Comb. Sci.",""
"ACS Energy Letters","ACS Energy Lett.",""
"ACS Infectious Diseases","ACS Infect. Dis.",""
"ACS Macro Letters","ACS Macro Lett.",""
"ACS Medicinal Chemistry Letters","ACS Med. Chem. Lett.",""
"ACS Nano","ACS Nano",""
"ACS Omega","ACS Omega",""
"ACS Photonics","ACS Photonics",""
"ACS Sensors","ACS Sens.",""
"ACS Sustainable Chemistry & Engineering","ACS Sustainable Chem. Eng.",""
"ACS Symposium Series","ACS Symp. Ser.",""
"ACS Synthetic Biology","ACS Synth. Biol.",""
"Acta - Unio Internationalis Contra Cancrum","Acta Unio Int Contra Cancrum",""
"Acta Academiae Medicinae Wuhan","Acta Acad. Med. Wuhan",""
"Acta Academiae Scientiarum Polonae / Polska Akademia Nauk","Acta Acad Sci Pol",""
"Acta Agralia Fennica","Acta Agral. Fenn.",""
"Acta Agraria et Silvestria, Seria Lesna, Krakau","Acta Agrar. Silv., Ser. Lesn. (Krak.)",""
"Acta Agriculturae Scandinavica Section A: Animal Science","Acta Agric. Scand. Sect A",""
"Acta Agriculturae Scandinavica Section B: Soil and Plant Science","Acta Agric. Scand. Sect B",""
"Acta agronomica","Acta Agron",""
"Acta Allergologica","Acta Allergol.",""
"Acta allergologica. Supplementum","Acta Allergol Suppl (Copenh)",""
"Acta Anaesthesiologica","Acta Anaesthesiol.",""
"Acta Anaesthesiologica Belgica","Acta Anaesthesiol. Belg.",""
"Acta anaesthesiologica italica","Acta Anaesthesiol Ital",""
"Acta Anaesthesiologica Scandinavica","Acta Anaesthesiol. Scand.",""
"Acta Anaesthesiologica Scandinavica. Supplementum","Acta Anaesthesiol. Scand. Suppl.",""
"Acta Anaesthesiologica Sinica","Acta Anaesthesiol. Sin.",""
"Acta Anaesthesiologica Taiwanica","Acta Anaesthesiol. Taiwan.",""
"Acta anaesthesiologica Taiwanica : official journal of the Taiwan Society of Anesthesiologists","Acta Anaesthesiol Taiwan",""
"Acta Anatomica","Acta Anat. (Basel)",""
"Acta Anatomica. Supplement","Acta Anat. Suppl. (Basel)",""
"Acta anatomica. Supplementum","Acta Anat Suppl (Basel)",""
"Acta Anthropogenetica","Acta Anthropogenet.",""
"Acta antiqua Academiae Scientiarum Hungaricae","Acta Antiq Hung",""
"Acta applicandae mathematicae","Acta Appl Math",""
"Acta argentina de fisiologia y fisiopatologia","Acta Argent Fisiol Fisiopatol",""
"Acta Astronautica","Acta Astronaut.",""
"Acta Automatica Sinica","Acta Autom. Sin.",""
"Acta Baltica","Acta Balt",""
"Acta Belgica de arte medicinali et pharmaceutica militari","Acta Belg Arte Med Pharm Mil",""
"Acta Belgica historiae medicinae : official journal of the Belgian Association for the History of Medicine / Societas Belgica Historiae Medicinae","Acta Belg Hist Med",""
"Acta Belgica. Medica Physica","Acta Belg. Med. Phys.",""
"Acta Belgica. Medica physica : organe officiel de la Societe royale belge de medecine physique et de rehabilitation","Acta Belg Med Phys",""
"Acta Bernensia","Acta Bern.",""
"Acta bio-medica : Atenei Parmensis","Acta Biomed",""
"Acta Bio-Medica de l'Ateneo Parmense","Acta Biomed. Ateneo Parmense",""
"Acta bio-medica de L'Ateneo parmense : organo della Societa di medicina e scienze naturali di Parma","Acta Biomed Ateneo Parmense",""
"Acta Biochimica et Biophysica Academiae Scientiarum Hungaricae","Acta Biochim. Biophys. Acad. Sci. Hung.",""
"Acta Biochimica et Biophysica Hungarica","Acta Biochim. Biophys. Hung.",""
"Acta Biochimica et Biophysica Sinica","Acta Biochim. Biophys. Sin.",""
"Acta biochimica et biophysica; Academiae Scientiarum Hungaricae","Acta Biochim Biophys Acad Sci Hung",""
"Acta Biochimica Polonica","Acta Biochim. Pol.",""
"Acta Biologiae Experimentalis","Acta Biol. Exp. (Warsz.)",""
"Acta Biologica Academiae Scientiarum Hungaricae","Acta Biol. Acad. Sci. Hung.",""
"Acta Biologica et Medica","Acta Biol. Med. (Gdansk)",""
"Acta Biologica et Medica Germanica","Acta Biol. Med. Ger.",""
"Acta Biologica Hungarica","Acta Biol. Hung.",""
"Acta Biologica Montana","Acta Biol. Mont.",""
"Acta Biomaterialia","Acta Biomater.",""
"Acta Bioquimica Clinica Latinoamericana","Acta Bioquim. Clin. Latinoam.",""
"Acta Biotechnologica","Acta Biotechnol.",""
"Acta Biotheoretica","Acta Biotheor.",""
"Acta Botanica Fennica","Acta Bot. Fenn.",""
"Acta botanica Gallica : bulletin de la Societe botanique de France","Acta Bot Gallica",""
"Acta brevia Neerlandica de physiologia, pharmacologia, microbiologia e.a","Acta Brevia Neerl Physiol Pharmacol Microbiol E A",""
"Acta Cancerologica","Acta Cancerol. (Lima)",""
"Acta Cardiologica","Acta Cardiol.",""
"Acta Cardiologica. Supplementum","Acta Cardiol. Suppl.",""
"Acta Chemica Scandinavica","Acta Chem. Scand.",""
"Acta chemica Scandinavica (Copenhagen, Denmark : 1989)","Acta Chem Scand",""
"Acta Chemica Scandinavica, Series A: Physical and Inorganic Chemistry","Acta Chem. Scand. Ser. A",""
"Acta Chemica Scandinavica, Series B: Organic Chemistry and Biochemistry","Acta Chem. Scand. Ser. B",""
"Acta Chemica Scandinavica. Series A, Physical and Inorganic Chemistry","Acta Chem. Scand. A",""
"Acta chemica Scandinavica. Series A: Physical and inorganic chemistry","Acta Chem Scand A",""
"Acta Chemica Scandinavica. Series B, Organic Chemistry and Biochemistry","Acta Chem. Scand. B",""
"Acta chemica Scandinavica. Series B: Organic chemistry and biochemistry","Acta Chem Scand B",""
"Acta Chimica Hungarica","Acta Chim. Hung.",""
"Acta Chimica Sinica","Acta Chim. Sinica",""
"Acta Chimica Slovaca","Acta Chim. Slovaca",""
"Acta Chimica Slovenica","Acta Chim. Slov.",""
"Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca","Acta Chir. Orthop. Traumatol. Cech.",""
"Acta Chirurgiae Plasticae","Acta Chir. Plast.",""
"Acta Chirurgica Academiae Scientiarum Hungaricae","Acta Chir. Acad. Sci. Hung.",""
"Acta Chirurgica Belgica","Acta Chir. Belg.",""
"Acta Chirurgica Hungarica","Acta Chir. Hung.",""
"Acta Chirurgica Italica","Acta Chir. Ital.",""
"Acta Chirurgica Iugoslavica","Acta Chir. Iugosl.",""
"Acta chirurgica Patavina","Acta Chir Patav",""
"Acta Chirurgica Scandinavica","Acta Chir. Scand.",""
"Acta Chirurgica Scandinavica. Supplementum","Acta Chir. Scand. Suppl.",""
"Acta Chromatographica","Acta Chromatogr.",""
"Acta Cienceia Indica Chemistry","Acta Cienc. Indica, Chem.",""
"Acta Ciencia Indica Chemistry","Acta Cienc. Indica, Chem.",""
"Acta Ciencia Indica Phyics","Acta Cienc. Indica, Phys.",""
"Acta Cientifica Venezolana","Acta Cient. Venez.",""
"Acta cirurgica brasileira / Sociedade Brasileira para Desenvolvimento Pesquisa em Cirurgia","Acta Cir Bras",""
"Acta classica","Acta Cl",""
"Acta Clinica Belgica","Acta Clin. Belg.",""
"Acta Clinica Belgica. Supplementum","Acta Clin. Belg. Suppl.",""
"Acta Clinica Odontologica","Acta Clin. Odontol.",""
"Acta clinica odontologica : organo de difusion academica de Sociedad Antioquena de Endodoncistas ... [et al.]","Acta Clin Odontol",""
"Acta Crystallographica","Acta Crystallogr.",""
"Acta Crystallographica Section A: Foundations","Acta Crystallogr., Sect. A: Found. Crystallogr.",""
"Acta Crystallographica Section B: Structural Science","Acta Crystallogr., Sect. B: Struct. Sci",""
"Acta Crystallographica Section C: Crystal Structure Communications","Acta Crystallogr., Sect. C: Cryst. Struct. Commun.",""
"Acta Crystallographica Section D: Biological Crystallography","Acta Crystallogr., Sect. D: Biol. Crystallogr.",""
"Acta Crystallographica Section E Structure Reports Online","Acta Crystallogr., Sect. E: Struct. Rep. Online",""
"Acta Crystallographica Section F: Structural Biology and Crystallization Communications","Acta Crystallogr., Sect. F: Struct. Biol. Cryst. Commun.",""
"Acta Crystallographica, Section A: Crystal Physics, Diffraction,Theoretical and General Crystallography","Acta Crystallogr. Sec. A",""
"Acta Crystallographica, Section A: Foundations and Advances","Acta Crystallogr., Sect. A: Found. Adv.",""
"Acta Crystallographica, Section A: Foundations of Crystallography","Acta Crystallogr., Sect. A: Found. Crystallogr.",""
"Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry","Acta Crystallogr. Sec. B",""
"Acta Crystallographica, Section B: Structural Science","Acta Crystallogr., Sect. B: Struct. Sci.",""
"Acta Crystallographica, Section B: Structural Science, Crystal Engineering and Materials","Acta Crystallogr., Sect. B: Struct. Sci., Cryst. Eng. Mater.",""
"Acta Crystallographica, Section C: Crystal Structure Communications","Acta Crystallogr., Sect. C: Cryst. Struct. Commun.",""
"Acta Crystallographica, Section C: Structural Chemistry","Acta Crystallogr., Sect. C: Struct. Chem.",""
"Acta Crystallographica, Section D: Biological Crystallography","Acta Crystallogr., Sect. D: Biol. Crystallogr.",""
"Acta Crystallographica, Section E: Crystallographic Communications","Acta Crystallogr., Sect. E: Crystallogr. Commun.",""
"Acta Crystallographica, Section E: Structure Reports Online","Acta Crystallogr., Sect. E: Struct. Rep. Online",""
"Acta Crystallographica, Section F: Structural Biology and Crystallization Communications","Acta Crystallogr., Sect. F: Struct. Biol. Cryst. Commun.",""
"Acta Crystallographica, Section F: Structural Biology Communications","Acta Crystallogr., Sect. F: Struct. Biol. Commun.",""
"Acta Crystallographica. Section A, Crystal Physics, Diffraction, Theoretical and General Crystallography","Acta Crystallogr. A",""
"Acta Crystallographica. Section A, Foundations of Crystallography","Acta Crystallogr. A",""
"Acta Crystallographica. Section B, Structural Crystallography and Crystal Chemistry","Acta Crystallogr. B",""
"Acta Crystallographica. Section B, Structural Science","Acta Crystallogr. B",""
"Acta crystallographica. Section B: Structural crystallography and crystal chemistry","Acta Crystallogr B",""
"Acta Crystallographica. Section C, Crystal Structure Communications","Acta Crystallogr. C",""
"Acta Crystallographica. Section D, Biological Crystallography","Acta Crystallogr. D Biol. Crystallogr.",""
"Acta crystallographica. Section E, Structure reports online","Acta Crystallogr Sect E Struct Rep Online",""
"Acta Crystallographica. Section F, Structural Biology and Crystallization Communications","Acta Crystallograph. Sect. F Struct. Biol. Cryst. Commun.",""
"Acta Cytologica","Acta Cytol.",""
"Acta de Odontologia Pediatrica","Acta Odontol. Pediatr.",""
"Acta demographica","Acta Demogr",""
"Acta Dermato-Venereologica","Acta Derm. Venereol.",""
"Acta Dermato-Venereologica. Supplementum","Acta Derm. Venereol. Suppl. (Stockh.)",""
"Acta Dermatologica Kyoto. English Edition","Acta Dermatol. Kyoto Engl. Ed.",""
"Acta dermatologica-Kyoto. English edition","Acta Dermatol Kyoto Engl Ed",""
"Acta dermatovenerologica Alpina, Panonica, et Adriatica","Acta Dermatovenerol Alp Panonica Adriat",""
"Acta dermatovenerologica Croatica : ADC / Hrvatsko dermatolosko drustvo","Acta Dermatovenerol Croat",""
"Acta Diabetologica","Acta Diabetol.",""
"Acta Diabetologica Latina","Acta Diabetol. Lat.",""
"Acta Embryologiae et Morphologiae Experimentalis","Acta Embryol. Morphol. Exp.",""
"Acta embryologiae et morphologiae experimentalis (""Halocynthia"" Association"")","Acta Embryol Morphol Exp",""
"Acta Embryologiae Experimentalis","Acta Embryol. Exp. (Palermo)",""
"Acta Endocrinologica","Acta Endocrinol. (Copenh.)",""
"Acta endocrinologica Iberica","Acta Endocrinol Iber",""
"Acta Endocrinologica Panamericana","Acta Endocrinol Panam",""
"Acta Endocrinologica. Supplementum","Acta Endocrinol. Suppl. (Copenh.)",""
"Acta endoscopica","Acta Endoscopica",""
"Acta ethnologica et linguistica","Acta Ethnol Linguist",""
"Acta Europaea Fertilitatis","Acta Eur. Fertil.",""
"Acta Farmaceutica Bonaerense","Acta Farm. Bonaerense",""
"Acta Forestalia Fennica","Acta For. Fenn.",""
"Acta gastro-enterologica Belgica","Acta Gastroenterol Belg",""
"Acta Gastroenterologica Belgica","Acta Gastroenterol. Belg.",""
"Acta Gastroenterologica Latinoamericana","Acta Gastroenterol. Latinoam.",""
"Acta Genetica et Statistica Medica","Acta Genet. Stat. Med.",""
"Acta Geneticae Medicae et Gemellologiae","Acta Genet. Med. Gemellol. (Roma)",""
"Acta Geodaetica et Geophysica","Acta Geod. Geophys.",""
"Acta Geodynamics et Geomaterialia","Acta Geodyn. Geomater.",""
"Acta geographica","Acta Geogr",""
"Acta geographica Croatica : glasilo Geografskog odjela PMF-a Sveucilista u Zagrebu","Acta Geogr Croat",""
"Acta Geographica Sinica","Acta Geogr. Sin.",""
"Acta Geologica Sinica","Acta Geol. Sin.",""
"Acta Geophysica","Acta Geophys.",""
"Acta Geotechnica","Acta Geotech.",""
"Acta Gerontologica","Acta Gerontol. (Milano)",""
